-36,-35,-45,-44,-53,-53,-48,-32,0,10,14,-4,-4,-2,-15,-10,-2,1,6,-10,1,2,-9,-6,-15,-12,-12,-17,-27,-4
-45,-51,-59,-54,-50,-64,-52,-17,28,41,37,24,18,19,9,24,31,28,23,7,19,24,5,-3,-8,-8,-9,-21,-17,-14
-48,-58,-65,-60,-60,-64,-55,-27,20,42,40,41,32,43,26,30,43,34,40,27,29,41,16,7,-1,-12,-12,-17,-23,-11
-55,-61,-72,-57,-57,-53,-41,-14,20,32,50,38,38,44,33,37,43,44,46,42,30,38,16,4,6,-5,-2,-17,-20,-11
-58,-58,-69,-47,-64,-46,-33,-17,20,25,35,31,25,41,25,44,46,41,56,36,34,38,24,10,6,-5,-12,-17,-20,-14
-58,-58,-65,-60,-46,-46,-31,-28,-8,7,22,17,18,34,19,34,39,44,40,36,34,34,25,8,-4,-12,-9,-24,-27,-14
-68,-58,-72,-47,-42,-32,-31,-24,3,-4,9,13,12,30,8,30,39,38,33,33,20,35,21,1,3,-15,-15,-28,-27,-14
-71,-61,-75,-57,-53,-44,-34,-28,-4,-3,9,-1,2,23,8,27,30,28,40,33,27,35,21,8,-1,-15,-12,-21,-30,-18
-71,-61,-69,-50,-42,-40,-42,-31,-15,-10,-1,-11,-5,20,5,20,20,25,30,23,20,32,21,-8,-1,-19,-12,-24,-30,-7
-78,-65,-75,-57,-53,-44,-49,-41,-21,-13,-7,-15,-12,13,-5,10,5,15,20,20,16,28,17,1,-11,-22,-14,-31,-30,-18
-71,-71,-82,-64,-64,-47,-53,-50,-26,-27,-11,-18,-22,0,-16,3,5,15,10,36,5,25,17,-12,-11,-23,-18,-28,-30,-14
-75,-71,-82,-64,-53,-58,-46,-48,-34,-38,-21,-29,-38,-7,-19,-10,-1,5,3,13,5,21,10,-12,-17,-27,-21,-31,-37,-14
-75,-68,-82,-60,-64,-58,-53,-55,-40,-45,-31,-36,-42,-14,-33,-17,-1,5,0,13,2,21,14,-12,-14,-27,-21,-35,-40,-14
-78,-68,-79,-54,-53,-54,-51,-58,-44,-45,-34,-53,-48,-14,-33,-20,-8,1,0,7,-2,25,14,-5,-17,-27,-14,-38,-30,-18
-78,-68,-79,-47,-53,-47,-47,-61,-54,-65,-51,-57,-58,-21,-46,-24,-11,-2,0,7,-2,14,10,-15,-10,-27,-24,-35,-40,-14
-85,-71,-79,-57,-39,-47,-47,-74,-72,-77,-64,-71,-68,-28,-53,-37,-21,-9,-20,-7,-9,14,17,-25,-10,-27,-24,-45,-40,-21
-78,-71,-79,-57,-42,-40,-44,-71,-85,-87,-71,-78,-78,-42,-63,-44,-24,-12,-20,-7,-13,11,4,-28,-14,-34,-18,-38,-43,-14
-78,-68,-72,-47,-42,-33,-44,-84,-82,-94,-86,-88,-88,-53,-67,-51,-27,-15,-24,0,-23,7,4,-31,-17,-30,-24,-42,-40,-21
-85,-71,-72,-37,-35,-37,-39,-71,-85,-105,-82,-85,-88,-53,-67,-51,-41,-25,-30,3,-27,7,7,-28,-24,-40,-21,-42,-47,-14
-75,-75,-75,-30,-50,-37,-39,-84,-92,-108,-85,-95,-95,-60,-77,-54,-42,-25,-33,-17,-31,7,7,-21,-24,-46,-28,-42,-43,-14
-81,-71,-75,-37,-46,-44,-46,-91,-103,-115,-89,-99,-103,-60,-77,-61,-45,-35,-40,-7,-31,-7,-4,-25,-21,-36,-24,-42,-47,-11
-91,-81,-89,-47,-42,-40,-50,-94,-92,-112,-92,-102,-106,-63,-80,-61,-48,-35,-40,-13,-34,-4,4,-28,-17,-29,-28,-42,-50,-14
-88,-81,-79,-54,-53,-47,-42,-81,-92,-101,-92,-100,-103,-67,-84,-61,-52,-32,-40,-13,-27,3,7,-25,-21,-51,-31,-45,-53,-14
-88,-75,-82,-47,-67,-51,-43,-78,-99,-108,-89,-100,-103,-63,-84,-64,-55,-32,-40,-13,-23,7,4,-25,-17,-50,-21,-49,-50,-18
-94,-85,-92,-47,-60,-51,-49,-87,-92,-108,-89,-103,-106,-71,-80,-64,-52,-39,-36,-17,-38,-7,-7,-31,-23,-53,-24,-49,-50,-21
-98,-85,-95,-60,-75,-58,-60,-94,-100,-108,-90,-103,-109,-63,-80,-57,-52,-32,-46,-17,-45,-11,-11,-41,-27,-46,-31,-49,-53,-7
-98,-88,-102,-84,-96,-75,-71,-91,-97,-101,-86,-96,-113,-63,-84,-71,-55,-42,-50,-7,-38,-10,-18,-57,-41,-60,-34,-59,-57,-21
-108,-98,-112,-77,-100,-86,-78,-97,-90,-101,-86,-100,-109,-71,-87,-74,-69,-58,-63,-47,-59,-31,-40,-54,-34,-60,-34,-52,-57,-11
-104,-98,-105,-84,-96,-93,-87,-94,-90,-101,-83,-107,-106,-71,-97,-77,-66,-55,-60,-33,-63,-34,-33,-54,-38,-64,-34,-56,-53,-21
-114,-118,-129,-90,-107,-104,-88,-84,-79,-93,-90,-121,-133,-88,-114,-100,-76,-58,-70,-57,-70,-48,-43,-67,-41,-64,-28,-59,-57,-21
