17,1,-13,-42,-115,-246,-565,-722,-437,-189,-78,-20,3,13,28,29,18,26,20,20,26,13,18,17,26,18,17,15,14,18
13,7,-16,-42,-128,-246,-547,-680,-408,-184,-78,-22,1,16,31,26,18,20,13,14,6,10,-6,7,8,-3,11,15,12,11
13,-6,-23,-49,-118,-226,-499,-619,-379,-181,-84,-22,-6,6,19,23,18,16,12,7,2,-10,-27,-14,3,4,4,15,17,5
10,-9,-26,-49,-112,-223,-467,-557,-340,-170,-74,-29,-9,2,22,20,15,16,9,14,-1,-23,-44,-21,-4,1,5,22,7,11
10,-9,-29,-52,-115,-206,-426,-519,-319,-164,-81,-29,-9,2,19,20,4,13,6,1,-18,-42,-69,-41,-22,-3,-6,15,17,11
6,-9,-29,-42,-112,-177,-384,-491,-313,-154,-81,-25,-16,-11,-1,16,4,4,-4,-6,-31,-59,-93,-55,-37,-17,-6,7,4,9
6,-6,-22,-42,-85,-151,-346,-467,-301,-147,-78,-23,-10,-7,-4,13,4,4,-11,-32,-48,-88,-103,-59,-37,-17,-9,7,4,12
6,-12,-22,-46,-88,-147,-332,-426,-262,-133,-68,-20,-7,-1,2,16,8,1,-11,-12,-48,-88,-117,-72,-44,-17,-9,5,7,6
10,-9,-29,-33,-88,-128,-304,-402,-255,-133,-61,-20,-17,-12,-4,10,8,-2,-22,-29,-61,-121,-152,-94,-51,-24,-13,7,1,2
10,-6,-22,-33,-71,-111,-276,-375,-244,-128,-64,-23,-13,-15,-7,10,8,-7,-22,-32,-82,-141,-176,-100,-56,-31,-19,-3,4,9
6,-12,-19,-26,-74,-121,-269,-340,-202,-104,-54,-13,-17,-9,-7,7,1,-7,-19,-47,-92,-163,-194,-115,-66,-34,-19,1,1,-1
3,-12,-26,-36,-81,-128,-255,-278,-152,-84,-45,-6,-7,-9,-1,10,8,0,-19,-47,-95,-163,-204,-132,-77,-38,-22,7,1,2
10,-9,-19,-39,-77,-101,-234,-278,-174,-94,-54,-14,-7,-16,-11,7,8,-7,-22,-44,-95,-167,-218,-139,-81,-41,-26,4,1,2
10,-9,-19,-29,-64,-98,-213,-265,-156,-91,-51,-7,-7,-9,-1,7,8,-3,-26,-47,-105,-180,-243,-144,-81,-41,-26,7,4,6
10,-12,-21,-23,-60,-88,-200,-244,-142,-80,-49,-4,-4,-7,-4,7,11,-3,-27,-50,-115,-193,-249,-152,-83,-41,-32,7,1,2
9,-6,-26,-26,-64,-82,-193,-235,-135,-73,-39,-4,-1,-4,9,10,11,-3,-30,-66,-139,-216,-260,-156,-90,-41,-32,4,1,5
13,1,-7,-16,-64,-85,-189,-220,-124,-66,-32,2,2,-1,6,16,15,-3,-30,-47,-139,-222,-277,-170,-87,-52,-36,4,-3,6
17,7,-1,-3,-57,-105,-220,-204,-92,-39,-9,16,16,6,19,16,11,-4,-34,-63,-142,-229,-295,-183,-98,-55,-39,-3,-3,-2
30,21,2,3,-40,-65,-179,-227,-132,-67,-26,12,16,6,22,23,15,-1,-34,-76,-165,-258,-291,-173,-101,-55,-29,4,4,2
34,17,9,23,-44,-72,-203,-231,-111,-50,-16,16,22,9,22,20,15,-1,-30,-66,-169,-262,-316,-197,-105,-62,-32,4,1,6
38,31,16,6,-30,-65,-203,-238,-118,-46,-9,29,29,16,28,20,15,-4,-34,-79,-172,-275,-333,-207,-116,-62,-36,4,1,-1
40,37,27,23,-20,-59,-203,-242,-125,-39,-10,29,32,22,31,29,18,-4,-30,-66,-169,-271,-343,-214,-116,-62,-36,1,-3,2
44,43,27,23,-30,-79,-227,-228,-93,-15,3,43,36,22,37,29,22,2,-34,-73,-172,-275,-354,-237,-123,-59,-42,1,-3,-1
47,46,27,39,-18,-79,-224,-238,-97,-11,11,53,42,28,40,33,29,8,-27,-57,-179,-291,-368,-237,-123,-62,-46,4,4,2
54,53,41,39,-21,-79,-238,-248,-97,-11,17,53,42,28,34,36,36,8,-30,-70,-176,-286,-392,-272,-144,-74,-49,-3,1,1
54,53,44,42,-18,-79,-241,-242,-82,-4,27,60,49,32,37,36,32,2,-37,-74,-186,-312,-399,-251,-123,-73,-52,4,-6,6
65,59,44,51,-11,-75,-238,-235,-75,8,24,60,59,42,40,42,29,5,-34,-79,-206,-338,-403,-248,-130,-67,-42,-6,4,-2
61,63,52,48,-4,-69,-235,-228,-64,8,30,67,49,38,40,33,32,5,-28,-77,-209,-345,-427,-265,-137,-74,-49,11,1,6
61,66,48,57,-8,-72,-225,-211,-57,8,30,64,49,38,37,33,32,2,-38,-80,-212,-349,-427,-289,-137,-74,-46,1,1,5
61,63,43,42,-18,-69,-201,-169,-42,15,30,60,55,34,34,26,32,-1,-35,-87,-206,-352,-437,-276,-137,-77,-49,7,1,5
